age,weight,height,gender,activity_level,fitness_goal,bmi,experience_level
56,85.0943921382166,158.30083164289712,Female,Moderate,Weight Loss,33.95740914445817,Intermediate
46,61.34662195715277,150.0,Female,Very High,Muscle Gain,27.26516531429012,Beginner
32,82.53538168097712,169.72485094949363,Female,Very High,Weight Loss,28.651627225260782,Intermediate
60,53.05439718013573,187.72251596669744,Female,Low,Maintenance,15.055273580976591,Beginner
25,77.94706266872925,186.6125921454787,Male,High,Endurance,22.38297775232205,Advanced
38,91.6235293098685,165.42903743413729,Female,Very High,Weight Loss,33.47985212514229,Advanced
56,40.0,163.9778793963822,Male,Very High,Maintenance,14.87611270148444,Intermediate
36,58.046571167942844,174.68774256075022,Female,Very High,Endurance,19.021804144069915,Advanced
40,78.6560819077081,160.01614560811709,Male,Very High,Weight Loss,30.71883200460157,Advanced
28,66.9543192093551,173.01791899819466,Female,Moderate,Muscle Gain,22.366417645694867,Advanced
28,75.56718810056964,177.6608027838469,Female,Very High,Endurance,23.941426412017464,Advanced
41,60.94022219926269,182.26933223884308,Male,Moderate,Endurance,18.34327294764325,Beginner
53,71.2988468120935,168.99845923520047,Female,Very High,Muscle Gain,24.96416332975945,Beginner
57,67.66484146911881,167.96326249823034,Female,High,Endurance,23.984709636955994,Intermediate
41,87.5167309248971,161.22017413243438,Female,Low,Weight Loss,33.670713157170674,Intermediate
20,73.8163126495182,161.7311964596014,Male,High,Weight Loss,28.220502867085386,Intermediate
39,75.06403993112804,167.73521108098473,Female,Very High,Endurance,26.679854404666987,Advanced
19,63.82184550816299,173.6736550681618,Male,Very High,Endurance,21.15930845236439,Advanced
41,62.6859066389126,179.1358462623325,Female,Very High,Muscle Gain,19.53461750831573,Beginner
61,63.51162718270569,161.96821049319655,Female,High,Muscle Gain,24.209937695563827,Beginner
47,75.91678213567445,184.92688568959522,Male,Very High,Muscle Gain,22.19921818793821,Intermediate
55,63.68523278769605,167.2887639895743,Female,High,Maintenance,22.75648576953763,Beginner
19,74.34662285344619,169.78632705651563,Female,Moderate,Weight Loss,25.7902658455506,Beginner
38,101.13101197968157,162.52788320852176,Male,Low,Weight Loss,38.28499502083567,Beginner
50,83.06687055147539,150.0,Female,Low,Weight Loss,36.918609133989065,Beginner
29,65.10964701748239,178.84045396361049,Male,High,Endurance,20.357001736808787,Beginner
39,88.01820883245918,177.36843897092433,Male,Moderate,Muscle Gain,27.978204411936616,Intermediate
61,63.87886940467673,167.18672442881785,Male,High,Maintenance,22.853548487273,Intermediate
42,40.0,170.6699071722487,Female,Moderate,Weight Loss,13.732388668305452,Beginner
44,54.87870533623894,175.15939217704098,Male,Very High,Weight Loss,17.886979047911773,Intermediate
59,41.938121184612164,154.37454143113456,Male,Moderate,Muscle Gain,17.597768864884635,Advanced
45,64.72729773938038,164.70947322653706,Female,Moderate,Endurance,23.858894666700333,Beginner
33,70.27627568784328,177.94264679621827,Male,Moderate,Endurance,22.194667618876053,Advanced
32,95.14655968412924,157.4571057683075,Female,Low,Weight Loss,38.37678251047476,Intermediate
64,74.90391060646245,172.9355793216663,Female,Moderate,Endurance,25.045850612485218,Intermediate
61,66.71349206786704,156.43418195376594,Female,Very High,Muscle Gain,27.261538603412934,Advanced
20,82.44108371775233,174.66429982433527,Female,Very High,Endurance,27.023114262530125,Intermediate
54,40.0,169.64358517702516,Male,Very High,Endurance,13.899049677328673,Beginner
24,73.53421837162848,153.8486818409449,Male,Moderate,Weight Loss,31.067186263718984,Advanced
38,81.5629779083045,181.6473935445717,Male,High,Endurance,24.71921828500519,Beginner
26,47.821206313302376,162.6540842320195,Male,High,Muscle Gain,18.075510905178795,Advanced
56,87.15631064810394,161.8974756298562,Male,Very High,Weight Loss,33.25206983521825,Intermediate
